können;móc

ich kann;ja mogę
du kannst;ty możesz
er kann;on może
wir können;my możemy
ihr könnt;wy możecie
sie können;oni mogą
sprechen;mówić

ich spreche;ja mówię
du sprichst;ty mówisz
er spricht;on mówi
wir sprechen;my mówimy
ihr sprecht;wy mówicie
sie sprechen;oni mówią
gehen;iść

ich gehe;ja idę
du gehst;ty idziesz
er geht;on idzie
wir gehen;my idziemy
ihr geht;wy idziecie
sie gehen;oni idą
genießen;cieszyć się

ich genieße;ja się cieszę
du genießt;ty się cieszysz
er genießt;on się cieszy
wir genießen;my się cieszymy
ihr genießt;wy się cieszycie
sie genießen;oni się cieszą
verdanken;zawdzięczać

ich verdanke;ja zawdzięczam
du verdankst;ty zawdzięczasz
er verdankt;on zawdzięcza
wir verdanken;my zawdzięczamy
ihr verdankt;wy zawdzięczacie
sie verdanken;oni zawdzięczają
entscheiden;decydować

ich entscheide;ja decyduję
du entscheidest;ty decydujesz
er entscheidet;on decyduje
wir entscheiden;my decydujemy
ihr entscheidet;wy decydujecie
sie entscheiden;oni decydują
sein;być

ich bin;ja jestem
du bist;ty jesteś
er ist;on jest
wir sind;my jesteśmy
ihr seid;wy jesteście
sie sind;oni są
annehmen;zakładać (przypuszczać)

ich nehme an;ja zakładam
du nimmst an;ty zakładasz
er nimmt an;on zakłada
wir nehmen an;my zakładamy
ihr nehmt an;wy zakładacie
sie nehmen an;oni zakładają
müssen;musieć

ich muss;ja muszę
du musst;ty musisz
er muss;on musi
wir müssen;my musimy
ihr müsst;wy musicie
sie müssen;oni muszą
tragen;nosić

ich trage;ja noszę
du trägst;ty nosisz
er trägt;on nosi
wir tragen;my nosimy
ihr tragt;wy nosicie
sie tragen;oni noszą
nehmen;wziąć
ich nehme;ja biorę
du nimmst;ty bierzesz
er nimmt;on bierze
wir nehmen;my bierzemy
ihr nehmt;wy bierzecie
sie nehmen;oni biorą
altern;postarzeć się
ich altere;ja się starzeję
du alterst;ty się starzejesz
er altert;on się starzeje
wir altern;my się starzejemy
ihr altert;wy się starzejecie
sie altern;oni się starzeją
zuschauen;przyglądać się
ich schaue zu;ja się przyglądam
du schaust zu;ty się przyglądasz
er schaut zu;on się przygląda
wir schauen zu;my się przyglądamy
ihr schaut zu;wy się przyglądacie
sie schauen zu;oni się przyglądają
eintreten;wchodzić
ich trete ein;ja wchodzę
du trittst ein;ty wchodzisz
er tritt ein;on wchodzi
wir treten ein;my wchodzimy
ihr tretet ein;wy wchodzicie
sie treten ein;oni wchodzą
stellen;stawiać
ich stelle;ja stawiam
du stellst;ty stawiasz
er stellt;on stawia
wir stellen;my stawiamy
ihr stellt;wy stawiacie
sie stellen;oni stawiają